"","Cell","Cell_type"
"355","C_355","Fibroblast"
"356","C_356","Fibroblast"
"357","C_357","Fibroblast"
"358","C_358","Fibroblast"
"359","C_359","Fibroblast"
"360","C_360","Fibroblast"
"361","C_361","Fibroblast"
"362","C_362","Fibroblast"
"363","C_363","Fibroblast"
"364","C_364","Fibroblast"
"365","C_365","Fibroblast"
"366","C_366","Fibroblast"
"367","C_367","Fibroblast"
"368","C_368","Fibroblast"
"369","C_369","Fibroblast"
"370","C_370","Fibroblast"
"371","C_371","Fibroblast"
"372","C_372","Fibroblast"
"373","C_373","Fibroblast"
"374","C_374","Fibroblast"
"375","C_375","Fibroblast"
"376","C_376","Fibroblast"
"377","C_377","Fibroblast"
"378","C_378","Fibroblast"
"379","C_379","Fibroblast"
"380","C_380","Fibroblast"
"381","C_381","Fibroblast"
"382","C_382","Fibroblast"
"383","C_383","Fibroblast"
"384","C_384","Fibroblast"
"385","C_385","Fibroblast"
"386","C_386","Fibroblast"
"387","C_387","Fibroblast"
"388","C_388","Fibroblast"
"389","C_389","Fibroblast"
"390","C_390","Fibroblast"
"391","C_391","Fibroblast"
"392","C_392","Fibroblast"
"393","C_393","Fibroblast"
"394","C_394","Fibroblast"
"395","C_395","Fibroblast"
"396","C_396","Fibroblast"
"397","C_397","Fibroblast"
"398","C_398","Fibroblast"
"399","C_399","Fibroblast"
"400","C_400","Fibroblast"
"401","C_401","Fibroblast"
"402","C_402","Fibroblast"
"403","C_403","Fibroblast"
"404","C_404","Fibroblast"
"405","C_405","Fibroblast"
"406","C_406","Fibroblast"
"407","C_407","Fibroblast"
"408","C_408","Fibroblast"
"409","C_409","Fibroblast"
"410","C_410","Fibroblast"
"411","C_411","Fibroblast"
"412","C_412","Fibroblast"
"413","C_413","Fibroblast"
"414","C_414","Fibroblast"
"415","C_415","Fibroblast"
"416","C_416","Fibroblast"
"417","C_417","Fibroblast"
"418","C_418","Fibroblast"
"419","C_419","Fibroblast"
"420","C_420","Fibroblast"
"421","C_421","Fibroblast"
"422","C_422","Fibroblast"
"423","C_423","Fibroblast"
"424","C_424","Fibroblast"
"425","C_425","Fibroblast"
"426","C_426","Fibroblast"
"427","C_427","Fibroblast"
"428","C_428","Fibroblast"
"429","C_429","Fibroblast"
"430","C_430","Fibroblast"
"431","C_431","Fibroblast"
"432","C_432","Fibroblast"
"433","C_433","Fibroblast"
"434","C_434","Fibroblast"
"435","C_435","Fibroblast"
"436","C_436","Fibroblast"
"437","C_437","Fibroblast"
"438","C_438","Fibroblast"
"439","C_439","Fibroblast"
"440","C_440","Fibroblast"
"441","C_441","Fibroblast"
"442","C_442","Fibroblast"
"443","C_443","Fibroblast"
"444","C_444","Fibroblast"
"445","C_445","Fibroblast"
"446","C_446","Fibroblast"
"447","C_447","Fibroblast"
"448","C_448","Fibroblast"
"449","C_449","Fibroblast"
"450","C_450","Fibroblast"
"451","C_451","Fibroblast"
"452","C_452","Fibroblast"
"453","C_453","Fibroblast"
"454","C_454","Fibroblast"
"455","C_455","Fibroblast"
"456","C_456","Fibroblast"
"457","C_457","Fibroblast"
"458","C_458","Fibroblast"
"459","C_459","Fibroblast"
"460","C_460","Fibroblast"
"461","C_461","Fibroblast"
"462","C_462","Fibroblast"
"463","C_463","Fibroblast"
"464","C_464","Fibroblast"
"465","C_465","Fibroblast"
"466","C_466","Fibroblast"
"467","C_467","Fibroblast"
"468","C_468","Fibroblast"
"469","C_469","Fibroblast"
"470","C_470","Fibroblast"
"471","C_471","Fibroblast"
"472","C_472","Fibroblast"
"473","C_473","Fibroblast"
"474","C_474","Fibroblast"
"475","C_475","Fibroblast"
"476","C_476","Fibroblast"
"477","C_477","Fibroblast"
"478","C_478","Fibroblast"
"479","C_479","Fibroblast"
"480","C_480","Fibroblast"
"481","C_481","Fibroblast"
"482","C_482","Fibroblast"
"483","C_483","Fibroblast"
"484","C_484","Fibroblast"
"485","C_485","Fibroblast"
"486","C_486","Fibroblast"
"487","C_487","Fibroblast"
"488","C_488","Fibroblast"
"489","C_489","Fibroblast"
"490","C_490","Fibroblast"
"491","C_491","Fibroblast"
"492","C_492","Fibroblast"
"493","C_493","Fibroblast"
"494","C_494","Fibroblast"
"495","C_495","Fibroblast"
"496","C_496","Fibroblast"
"497","C_497","Fibroblast"
"498","C_498","Fibroblast"
"499","C_499","Fibroblast"
"500","C_500","Fibroblast"
"501","C_501","Fibroblast"
"502","C_502","Fibroblast"
"503","C_503","Fibroblast"
"504","C_504","Fibroblast"
"505","C_505","Fibroblast"
"506","C_506","Fibroblast"
"507","C_507","Fibroblast"
"508","C_508","Fibroblast"
"509","C_509","Fibroblast"
"510","C_510","Fibroblast"
"511","C_511","Fibroblast"
"512","C_512","Fibroblast"
"513","C_513","Fibroblast"
"514","C_514","Fibroblast"
"515","C_515","Fibroblast"
"516","C_516","Fibroblast"
"517","C_517","Fibroblast"
"518","C_518","Fibroblast"
"519","C_519","Fibroblast"
"520","C_520","Fibroblast"
"521","C_521","Fibroblast"
"522","C_522","Fibroblast"
"523","C_523","Fibroblast"
"524","C_524","Fibroblast"
"525","C_525","Fibroblast"
"526","C_526","Fibroblast"
"527","C_527","Fibroblast"
"528","C_528","Fibroblast"
"529","C_529","Fibroblast"
"530","C_530","Fibroblast"
"531","C_531","Fibroblast"
"532","C_532","Fibroblast"
"533","C_533","Fibroblast"
"534","C_534","Fibroblast"
"535","C_535","Fibroblast"
"536","C_536","Fibroblast"
"537","C_537","Fibroblast"
"538","C_538","Fibroblast"
"539","C_539","Fibroblast"
"540","C_540","Fibroblast"
"541","C_541","Fibroblast"
"542","C_542","Fibroblast"
"543","C_543","Fibroblast"
"544","C_544","Fibroblast"
"545","C_545","Fibroblast"
"546","C_546","Fibroblast"
"547","C_547","Fibroblast"
"548","C_548","Fibroblast"
"549","C_549","Fibroblast"
"550","C_550","Fibroblast"
"551","C_551","Fibroblast"
"552","C_552","Fibroblast"
"553","C_553","Fibroblast"
"554","C_554","Fibroblast"
"555","C_555","Fibroblast"
"556","C_556","Fibroblast"
"557","C_557","Fibroblast"
"558","C_558","Fibroblast"
"559","C_559","Fibroblast"
"560","C_560","Fibroblast"
"561","C_561","Fibroblast"
"562","C_562","Fibroblast"
"563","C_563","Fibroblast"
"564","C_564","Fibroblast"
"565","C_565","Fibroblast"
"566","C_566","Fibroblast"
"567","C_567","Fibroblast"
"568","C_568","Fibroblast"
"569","C_569","Fibroblast"
"570","C_570","Fibroblast"
"571","C_571","Fibroblast"
"572","C_572","Fibroblast"
"573","C_573","Fibroblast"
"574","C_574","Fibroblast"
"575","C_575","Fibroblast"
"576","C_576","Fibroblast"
"577","C_577","Fibroblast"
"578","C_578","Fibroblast"
"579","C_579","Fibroblast"
"580","C_580","Fibroblast"
"581","C_581","Fibroblast"
"582","C_582","Fibroblast"
"583","C_583","Fibroblast"
"584","C_584","Fibroblast"
"585","C_585","Fibroblast"
"586","C_586","Fibroblast"
"587","C_587","Fibroblast"
"588","C_588","Fibroblast"
"589","C_589","Fibroblast"
"590","C_590","Fibroblast"
"591","C_591","Fibroblast"
"592","C_592","Fibroblast"
"593","C_593","Fibroblast"
"594","C_594","Fibroblast"
"595","C_595","Fibroblast"
"596","C_596","Fibroblast"
"597","C_597","Fibroblast"
"598","C_598","Fibroblast"
"599","C_599","Fibroblast"
"600","C_600","Fibroblast"
"601","C_601","Fibroblast"
"602","C_602","Fibroblast"
"603","C_603","Fibroblast"
"604","C_604","Fibroblast"
"605","C_605","Fibroblast"
"606","C_606","Fibroblast"
"607","C_607","Fibroblast"
"608","C_608","Fibroblast"
"609","C_609","Fibroblast"
"610","C_610","Fibroblast"
"611","C_611","Fibroblast"
"612","C_612","Fibroblast"
"613","C_613","Fibroblast"
"614","C_614","Fibroblast"
"615","C_615","Fibroblast"
"616","C_616","Fibroblast"
"617","C_617","Fibroblast"
"618","C_618","Fibroblast"
"619","C_619","Fibroblast"
"620","C_620","Fibroblast"
"621","C_621","Fibroblast"
"622","C_622","Fibroblast"
"623","C_623","Fibroblast"
"624","C_624","Fibroblast"
"625","C_625","Fibroblast"
"626","C_626","Fibroblast"
"627","C_627","Fibroblast"
"628","C_628","Fibroblast"
"629","C_629","Fibroblast"
"630","C_630","Fibroblast"
"631","C_631","Fibroblast"
"632","C_632","Fibroblast"
"633","C_633","Fibroblast"
"634","C_634","Fibroblast"
"635","C_635","Fibroblast"
"636","C_636","Fibroblast"
"637","C_637","Fibroblast"
"638","C_638","Fibroblast"
"639","C_639","Fibroblast"
"640","C_640","Fibroblast"
"641","C_641","Fibroblast"
"642","C_642","Fibroblast"
"643","C_643","Fibroblast"
"644","C_644","Fibroblast"
"645","C_645","Fibroblast"
"646","C_646","Fibroblast"
"647","C_647","Fibroblast"
"648","C_648","Fibroblast"
"649","C_649","Fibroblast"
"650","C_650","Fibroblast"
"651","C_651","Fibroblast"
"652","C_652","Fibroblast"
"653","C_653","Fibroblast"
"654","C_654","Fibroblast"
"655","C_655","Fibroblast"
"656","C_656","Fibroblast"
"657","C_657","Fibroblast"
"658","C_658","Fibroblast"
"659","C_659","Fibroblast"
"660","C_660","Fibroblast"
"661","C_661","Fibroblast"
"662","C_662","Fibroblast"
"663","C_663","Mesothelial cell"
"664","C_664","Fibroblast"
"665","C_665","Fibroblast"
"666","C_666","Fibroblast"
"667","C_667","Fibroblast"
"668","C_668","Fibroblast"
"669","C_669","Fibroblast"
"670","C_670","Fibroblast"
"671","C_671","Mesothelial cell"
"672","C_672","Fibroblast"
"673","C_673","Fibroblast"
"674","C_674","Fibroblast"
"675","C_675","Fibroblast"
"676","C_676","Fibroblast"
"677","C_677","Fibroblast"
"678","C_678","Fibroblast"
"679","C_679","Fibroblast"
"680","C_680","Fibroblast"
"681","C_681","Fibroblast"
"682","C_682","Fibroblast"
"683","C_683","Fibroblast"
"684","C_684","Fibroblast"
"685","C_685","Fibroblast"
"686","C_686","Fibroblast"
"687","C_687","Fibroblast"
"688","C_688","Fibroblast"
"689","C_689","Fibroblast"
"690","C_690","Fibroblast"
"691","C_691","Fibroblast"
"692","C_692","Fibroblast"
"693","C_693","Fibroblast"
"694","C_694","Fibroblast"
"695","C_695","Fibroblast"
"696","C_696","Fibroblast"
"697","C_697","Fibroblast"
"698","C_698","Fibroblast"
"699","C_699","Fibroblast"
"700","C_700","Fibroblast"
"701","C_701","Fibroblast"
"702","C_702","Fibroblast"
"703","C_703","Fibroblast"
"704","C_704","Fibroblast"
"705","C_705","Fibroblast"
"706","C_706","Fibroblast"
"707","C_707","Fibroblast"
"708","C_708","Fibroblast"
"709","C_709","Fibroblast"
"710","C_710","Fibroblast"
"711","C_711","Fibroblast"
"712","C_712","Fibroblast"
"713","C_713","Fibroblast"
"714","C_714","Fibroblast"
"715","C_715","Fibroblast"
"716","C_716","Fibroblast"
"717","C_717","Fibroblast"
"718","C_718","Fibroblast"
"719","C_719","Fibroblast"
"720","C_720","Fibroblast"
"721","C_721","Fibroblast"
"722","C_722","Fibroblast"
"723","C_723","Fibroblast"
"724","C_724","Fibroblast"
"725","C_725","Fibroblast"
"726","C_726","Fibroblast"
"727","C_727","Fibroblast"
"728","C_728","Fibroblast"
"729","C_729","Fibroblast"
"730","C_730","Fibroblast"
"731","C_731","Fibroblast"
"732","C_732","Fibroblast"
"733","C_733","Fibroblast"
"734","C_734","Fibroblast"
"735","C_735","Fibroblast"
"736","C_736","Fibroblast"
"737","C_737","Fibroblast"
"738","C_738","Fibroblast"
"739","C_739","Fibroblast"
"740","C_740","Fibroblast"
"741","C_741","Fibroblast"
"742","C_742","Fibroblast"
"743","C_743","Fibroblast"
"744","C_744","Fibroblast"
"745","C_745","Fibroblast"
"746","C_746","Fibroblast"
"747","C_747","Fibroblast"
"748","C_748","Fibroblast"
"749","C_749","Fibroblast"
"750","C_750","Fibroblast"
"751","C_751","Fibroblast"
"752","C_752","Fibroblast"
"753","C_753","Fibroblast"
"754","C_754","Fibroblast"
"755","C_755","Fibroblast"
"756","C_756","Fibroblast"
"757","C_757","Fibroblast"
"758","C_758","Fibroblast"
"759","C_759","Fibroblast"
"760","C_760","Fibroblast"
"761","C_761","Fibroblast"
"762","C_762","Fibroblast"
"763","C_763","Fibroblast"
"764","C_764","Fibroblast"
"765","C_765","Fibroblast"
"766","C_766","Fibroblast"
"767","C_767","Fibroblast"
"768","C_768","Fibroblast"
"769","C_769","Fibroblast"
"770","C_770","Fibroblast"
"771","C_771","Fibroblast"
"772","C_772","Fibroblast"
"773","C_773","Fibroblast"
"774","C_774","Fibroblast"
"775","C_775","Fibroblast"
"776","C_776","Fibroblast"
"777","C_777","Fibroblast"
"778","C_778","Fibroblast"
"779","C_779","Fibroblast"
"780","C_780","Fibroblast"
"781","C_781","Fibroblast"
"782","C_782","Fibroblast"
"783","C_783","Fibroblast"
"784","C_784","Fibroblast"
"785","C_785","Fibroblast"
"786","C_786","Fibroblast"
"787","C_787","Fibroblast"
"788","C_788","Fibroblast"
"789","C_789","Fibroblast"
"790","C_790","Fibroblast"
"791","C_791","Fibroblast"
"792","C_792","Fibroblast"
"793","C_793","Fibroblast"
"794","C_794","Fibroblast"
"795","C_795","Fibroblast"
"796","C_796","Fibroblast"
"797","C_797","Mesothelial cell"
"798","C_798","Fibroblast"
"799","C_799","Fibroblast"
"800","C_800","Fibroblast"
"801","C_801","Fibroblast"
"802","C_802","Fibroblast"
"803","C_803","Mesothelial cell"
"804","C_804","Fibroblast"
"805","C_805","Fibroblast"
"806","C_806","Fibroblast"
"807","C_807","Fibroblast"
"808","C_808","Fibroblast"
"809","C_809","Fibroblast"
"810","C_810","Fibroblast"
"811","C_811","Fibroblast"
"812","C_812","Fibroblast"
"813","C_813","Fibroblast"
"814","C_814","Fibroblast"
"815","C_815","Mesothelial cell"
"816","C_816","Fibroblast"
"817","C_817","Fibroblast"
"818","C_818","Fibroblast"
"819","C_819","Fibroblast"
"820","C_820","Mesothelial cell"
"821","C_821","Fibroblast"
"822","C_822","Fibroblast"
"823","C_823","Fibroblast"
"824","C_824","Fibroblast"
"825","C_825","Fibroblast"
"826","C_826","Fibroblast"
"827","C_827","Fibroblast"
"828","C_828","Fibroblast"
"829","C_829","Fibroblast"
"830","C_830","Fibroblast"
"831","C_831","Fibroblast"
"832","C_832","Fibroblast"
"833","C_833","Fibroblast"
"834","C_834","Fibroblast"
"835","C_835","Fibroblast"
"836","C_836","Fibroblast"
"837","C_837","Fibroblast"
"838","C_838","Fibroblast"
"839","C_839","Fibroblast"
"840","C_840","Fibroblast"
"841","C_841","Fibroblast"
"842","C_842","Fibroblast"
"843","C_843","Fibroblast"
"844","C_844","Fibroblast"
"845","C_845","Fibroblast"
"846","C_846","Fibroblast"
"847","C_847","Fibroblast"
"848","C_848","Fibroblast"
"849","C_849","Fibroblast"
"850","C_850","Fibroblast"
"851","C_851","Fibroblast"
"852","C_852","Fibroblast"
"853","C_853","Fibroblast"
"854","C_854","Fibroblast"
"855","C_855","Fibroblast"
"856","C_856","Fibroblast"
"857","C_857","Fibroblast"
"858","C_858","Fibroblast"
"859","C_859","Fibroblast"
"860","C_860","Fibroblast"
"861","C_861","Fibroblast"
"862","C_862","Fibroblast"
"863","C_863","Fibroblast"
"864","C_864","Fibroblast"
"865","C_865","Fibroblast"
"866","C_866","Fibroblast"
"867","C_867","Fibroblast"
"868","C_868","Fibroblast"
"869","C_869","Fibroblast"
"870","C_870","Fibroblast"
"871","C_871","Fibroblast"
"872","C_872","Fibroblast"
"873","C_873","Fibroblast"
"874","C_874","Fibroblast"
"875","C_875","Fibroblast"
"876","C_876","Fibroblast"
"877","C_877","Fibroblast"
"878","C_878","Fibroblast"
"879","C_879","Fibroblast"
"880","C_880","Fibroblast"
"881","C_881","Fibroblast"
"882","C_882","Fibroblast"
"883","C_883","Fibroblast"
"884","C_884","Fibroblast"
"885","C_885","Fibroblast"
"886","C_886","Fibroblast"
"887","C_887","Fibroblast"
"888","C_888","Fibroblast"
"889","C_889","Fibroblast"
"890","C_890","Fibroblast"
"891","C_891","Fibroblast"
"892","C_892","Fibroblast"
"893","C_893","Fibroblast"
"894","C_894","Fibroblast"
"895","C_895","Fibroblast"
"896","C_896","Fibroblast"
"897","C_897","Fibroblast"
"898","C_898","Fibroblast"
"899","C_899","Fibroblast"
"900","C_900","Fibroblast"
"901","C_901","Fibroblast"
"902","C_902","Fibroblast"
"903","C_903","Fibroblast"
"904","C_904","Fibroblast"
"905","C_905","Fibroblast"
"906","C_906","Fibroblast"
"907","C_907","Fibroblast"
"908","C_908","Fibroblast"
"909","C_909","Mesothelial cell"
"910","C_910","Fibroblast"
"911","C_911","Fibroblast"
"912","C_912","Fibroblast"
"913","C_913","Fibroblast"
"914","C_914","Fibroblast"
"915","C_915","Fibroblast"
"916","C_916","Fibroblast"
"917","C_917","Fibroblast"
"918","C_918","Fibroblast"
"919","C_919","Fibroblast"
"920","C_920","Fibroblast"
"921","C_921","Fibroblast"
"922","C_922","Fibroblast"
"923","C_923","Fibroblast"
"924","C_924","Fibroblast"
"925","C_925","Fibroblast"
"926","C_926","Fibroblast"
