"","Cell","Cell_type"
"197","C_197","Epithelial cell (intermediated)"
"198","C_198","Epithelial cell (intermediated)"
"199","C_199","Epithelial cell (intermediated)"
"200","C_200","Epithelial cell (intermediated)"
"201","C_201","Epithelial cell (intermediated)"
"202","C_202","Epithelial cell (intermediated)"
"203","C_203","Epithelial cell (intermediated)"
"204","C_204","Epithelial cell (intermediated)"
"205","C_205","Epithelial cell (intermediated)"
"206","C_206","Endothelial cell (APC)"
"207","C_207","Epithelial cell (intermediated)"
"208","C_208","Epithelial cell (intermediated)"
"209","C_209","Epithelial cell (intermediated)"
"210","C_210","Epithelial cell (intermediated)"
"211","C_211","Epithelial cell (intermediated)"
"212","C_212","Epithelial cell (intermediated)"
"213","C_213","Epithelial cell (intermediated)"
"214","C_214","Epithelial cell (intermediated)"
"215","C_215","Epithelial cell (intermediated)"
"216","C_216","Epithelial cell (intermediated)"
"217","C_217","Epithelial cell (intermediated)"
"218","C_218","Epithelial cell (intermediated)"
"219","C_219","Epithelial cell (intermediated)"
"220","C_220","Epithelial cell (intermediated)"
"221","C_221","Epithelial cell (intermediated)"
"222","C_222","Epithelial cell (intermediated)"
"223","C_223","Epithelial cell (intermediated)"
"224","C_224","Epithelial cell (intermediated)"
"225","C_225","Epithelial cell (intermediated)"
"226","C_226","Epithelial cell (intermediated)"
"227","C_227","Epithelial cell (intermediated)"
"228","C_228","Endothelial cell (APC)"
"229","C_229","Epithelial cell (intermediated)"
"230","C_230","Epithelial cell (intermediated)"
"231","C_231","Epithelial cell (intermediated)"
"232","C_232","Epithelial cell (intermediated)"
"233","C_233","Epithelial cell (intermediated)"
"234","C_234","Epithelial cell (intermediated)"
"235","C_235","Epithelial cell (intermediated)"
"236","C_236","Endothelial cell (APC)"
"237","C_237","Epithelial cell (intermediated)"
"238","C_238","Epithelial cell (intermediated)"
"239","C_239","Epithelial cell (intermediated)"
"240","C_240","Epithelial cell (intermediated)"
"241","C_241","Epithelial cell (intermediated)"
"242","C_242","Endothelial cell (APC)"
"243","C_243","Epithelial cell (intermediated)"
"244","C_244","Epithelial cell (intermediated)"
"245","C_245","Epithelial cell (intermediated)"
"246","C_246","Epithelial cell (intermediated)"
"247","C_247","Epithelial cell (intermediated)"
"248","C_248","Epithelial cell (intermediated)"
"249","C_249","Epithelial cell (intermediated)"
"250","C_250","Epithelial cell (intermediated)"
"251","C_251","Epithelial cell (intermediated)"
"252","C_252","Epithelial cell (intermediated)"
"253","C_253","Epithelial cell (intermediated)"
"254","C_254","Epithelial cell (intermediated)"
"255","C_255","Epithelial cell (intermediated)"
"256","C_256","Epithelial cell (intermediated)"
"257","C_257","Epithelial cell (intermediated)"
"258","C_258","Epithelial cell (intermediated)"
"259","C_259","Epithelial cell (intermediated)"
"260","C_260","Epithelial cell (intermediated)"
"261","C_261","Epithelial cell (intermediated)"
"262","C_262","Epithelial cell (intermediated)"
"263","C_263","Epithelial cell (intermediated)"
"264","C_264","Epithelial cell (intermediated)"
"265","C_265","Epithelial cell (intermediated)"
"266","C_266","Epithelial cell (intermediated)"
"267","C_267","Epithelial cell (intermediated)"
"268","C_268","Epithelial cell (intermediated)"
"269","C_269","Epithelial cell (intermediated)"
"270","C_270","Epithelial cell (intermediated)"
"271","C_271","Epithelial cell (intermediated)"
"272","C_272","Epithelial cell (intermediated)"
"273","C_273","Epithelial cell (intermediated)"
"274","C_274","Epithelial cell (intermediated)"
"275","C_275","Epithelial cell (intermediated)"
"276","C_276","Epithelial cell (intermediated)"
"277","C_277","Epithelial cell (intermediated)"
"278","C_278","Epithelial cell (intermediated)"
"279","C_279","Epithelial cell (intermediated)"
"280","C_280","Epithelial cell (intermediated)"
"281","C_281","Epithelial cell (intermediated)"
"282","C_282","Epithelial cell (intermediated)"
"283","C_283","Epithelial cell (intermediated)"
"284","C_284","Epithelial cell (intermediated)"
"285","C_285","Epithelial cell (intermediated)"
"286","C_286","Epithelial cell (intermediated)"
"287","C_287","Epithelial cell (intermediated)"
"288","C_288","Epithelial cell (intermediated)"
"289","C_289","Epithelial cell (intermediated)"
"290","C_290","Epithelial cell (intermediated)"
"291","C_291","Epithelial cell (intermediated)"
"292","C_292","Epithelial cell (intermediated)"
"293","C_293","Epithelial cell (intermediated)"
"294","C_294","Epithelial cell (intermediated)"
"295","C_295","Epithelial cell (intermediated)"
"296","C_296","Epithelial cell (intermediated)"
"297","C_297","Epithelial cell (intermediated)"
"298","C_298","Epithelial cell (intermediated)"
"299","C_299","Epithelial cell (intermediated)"
"300","C_300","Epithelial cell (intermediated)"
"301","C_301","Epithelial cell (intermediated)"
"302","C_302","Epithelial cell (intermediated)"
"303","C_303","Epithelial cell (intermediated)"
"304","C_304","Endothelial cell (APC)"
"305","C_305","Epithelial cell (intermediated)"
"306","C_306","Epithelial cell (intermediated)"
"307","C_307","Epithelial cell (intermediated)"
"308","C_308","Epithelial cell (intermediated)"
"309","C_309","Epithelial cell (intermediated)"
"310","C_310","Epithelial cell (intermediated)"
"311","C_311","Epithelial cell (intermediated)"
"312","C_312","Epithelial cell (intermediated)"
"313","C_313","Epithelial cell (intermediated)"
"314","C_314","Epithelial cell (intermediated)"
"315","C_315","Epithelial cell (intermediated)"
"316","C_316","Epithelial cell (intermediated)"
"317","C_317","Epithelial cell (intermediated)"
"318","C_318","Epithelial cell (intermediated)"
"319","C_319","Epithelial cell (intermediated)"
"320","C_320","Epithelial cell (intermediated)"
"321","C_321","Epithelial cell (intermediated)"
"322","C_322","Epithelial cell (intermediated)"
"323","C_323","Epithelial cell (intermediated)"
"324","C_324","Epithelial cell (intermediated)"
"325","C_325","Epithelial cell (intermediated)"
"326","C_326","Epithelial cell (intermediated)"
"327","C_327","Epithelial cell (intermediated)"
"328","C_328","Epithelial cell (intermediated)"
"329","C_329","Epithelial cell (intermediated)"
"330","C_330","Epithelial cell (intermediated)"
"331","C_331","Epithelial cell (intermediated)"
"332","C_332","Epithelial cell (intermediated)"
"333","C_333","Epithelial cell (intermediated)"
"334","C_334","Epithelial cell (intermediated)"
"335","C_335","Epithelial cell (intermediated)"
"336","C_336","Epithelial cell (intermediated)"
"337","C_337","Epithelial cell (intermediated)"
"338","C_338","Epithelial cell (intermediated)"
"339","C_339","Epithelial cell (intermediated)"
"340","C_340","Epithelial cell (intermediated)"
"341","C_341","Epithelial cell (intermediated)"
"342","C_342","Epithelial cell (intermediated)"
"343","C_343","Epithelial cell (intermediated)"
"344","C_344","Epithelial cell (intermediated)"
"345","C_345","Epithelial cell (intermediated)"
"346","C_346","Epithelial cell (intermediated)"
"347","C_347","Epithelial cell (intermediated)"
"348","C_348","Epithelial cell (intermediated)"
"349","C_349","Epithelial cell (intermediated)"
"350","C_350","Epithelial cell (intermediated)"
"351","C_351","Epithelial cell (intermediated)"
"352","C_352","Epithelial cell (intermediated)"
"353","C_353","Epithelial cell (intermediated)"
"354","C_354","Epithelial cell (intermediated)"
"355","C_355","Epithelial cell (intermediated)"
"356","C_356","Epithelial cell (intermediated)"
"357","C_357","Epithelial cell (intermediated)"
"358","C_358","Epithelial cell (intermediated)"
"359","C_359","Epithelial cell (intermediated)"
"360","C_360","Epithelial cell (intermediated)"
"361","C_361","Epithelial cell (intermediated)"
"362","C_362","Epithelial cell (intermediated)"
"363","C_363","Epithelial cell (intermediated)"
"364","C_364","Epithelial cell (intermediated)"
"365","C_365","Epithelial cell (intermediated)"
"366","C_366","Epithelial cell (intermediated)"
"367","C_367","Epithelial cell (intermediated)"
"368","C_368","Epithelial cell (intermediated)"
"369","C_369","Epithelial cell (intermediated)"
"370","C_370","Epithelial cell (intermediated)"
"371","C_371","Epithelial cell (intermediated)"
"372","C_372","Epithelial cell (intermediated)"
"373","C_373","Epithelial cell (intermediated)"
"374","C_374","Epithelial cell (intermediated)"
"375","C_375","Epithelial cell (intermediated)"
"376","C_376","Epithelial cell (intermediated)"
"377","C_377","Epithelial cell (intermediated)"
"378","C_378","Epithelial cell (intermediated)"
"379","C_379","Epithelial cell (intermediated)"
"380","C_380","Epithelial cell (intermediated)"
"381","C_381","Epithelial cell (intermediated)"
"382","C_382","Epithelial cell (intermediated)"
"383","C_383","Epithelial cell (intermediated)"
"384","C_384","Epithelial cell (intermediated)"
"385","C_385","Epithelial cell (intermediated)"
"386","C_386","Epithelial cell (intermediated)"
"387","C_387","Epithelial cell (intermediated)"
"388","C_388","Epithelial cell (intermediated)"
"389","C_389","Epithelial cell (intermediated)"
"390","C_390","Epithelial cell (intermediated)"
"391","C_391","Epithelial cell (intermediated)"
"392","C_392","Epithelial cell (intermediated)"
"393","C_393","Epithelial cell (intermediated)"
"394","C_394","Epithelial cell (intermediated)"
"395","C_395","Epithelial cell (intermediated)"
"396","C_396","Epithelial cell (intermediated)"
"397","C_397","Epithelial cell (intermediated)"
"398","C_398","Epithelial cell (intermediated)"
"399","C_399","Epithelial cell (intermediated)"
"400","C_400","Epithelial cell (intermediated)"
"401","C_401","Epithelial cell (intermediated)"
"402","C_402","Epithelial cell (intermediated)"
"403","C_403","Epithelial cell (intermediated)"
"404","C_404","Epithelial cell (intermediated)"
"405","C_405","Epithelial cell (intermediated)"
"406","C_406","Epithelial cell (intermediated)"
"407","C_407","Epithelial cell (intermediated)"
"408","C_408","Epithelial cell (intermediated)"
"409","C_409","Epithelial cell (intermediated)"
"410","C_410","Epithelial cell (intermediated)"
"411","C_411","Epithelial cell (intermediated)"
"412","C_412","Epithelial cell (intermediated)"
"413","C_413","Epithelial cell (intermediated)"
"414","C_414","Epithelial cell (intermediated)"
"415","C_415","Epithelial cell (intermediated)"
"416","C_416","Epithelial cell (intermediated)"
"417","C_417","Endothelial cell (APC)"
"418","C_418","Epithelial cell (intermediated)"
"419","C_419","Epithelial cell (intermediated)"
"420","C_420","Epithelial cell (intermediated)"
"421","C_421","Epithelial cell (intermediated)"
"422","C_422","Epithelial cell (intermediated)"
"423","C_423","Epithelial cell (intermediated)"
"424","C_424","Epithelial cell (intermediated)"
"425","C_425","Epithelial cell (intermediated)"
"426","C_426","Epithelial cell (intermediated)"
"427","C_427","Epithelial cell (intermediated)"
"428","C_428","Epithelial cell (intermediated)"
"429","C_429","Epithelial cell (intermediated)"
"430","C_430","Epithelial cell (intermediated)"
"431","C_431","Epithelial cell (intermediated)"
"432","C_432","Epithelial cell (intermediated)"
"433","C_433","Epithelial cell (intermediated)"
"434","C_434","Epithelial cell (intermediated)"
"435","C_435","Epithelial cell (intermediated)"
"436","C_436","Epithelial cell (intermediated)"
"437","C_437","Epithelial cell (intermediated)"
"438","C_438","Epithelial cell (intermediated)"
"439","C_439","Epithelial cell (intermediated)"
"440","C_440","Epithelial cell (intermediated)"
"441","C_441","Epithelial cell (intermediated)"
"442","C_442","Epithelial cell (intermediated)"
"443","C_443","Epithelial cell (intermediated)"
"444","C_444","Epithelial cell (intermediated)"
"445","C_445","Epithelial cell (intermediated)"
"446","C_446","Epithelial cell (intermediated)"
"447","C_447","Epithelial cell (intermediated)"
"448","C_448","Epithelial cell (intermediated)"
"449","C_449","Epithelial cell (intermediated)"
"450","C_450","Epithelial cell (intermediated)"
"451","C_451","Epithelial cell (intermediated)"
"452","C_452","Epithelial cell (intermediated)"
"453","C_453","Epithelial cell (intermediated)"
"454","C_454","Epithelial cell (intermediated)"
"455","C_455","Epithelial cell (intermediated)"
"456","C_456","Epithelial cell (intermediated)"
"457","C_457","Epithelial cell (intermediated)"
"458","C_458","Epithelial cell (intermediated)"
"459","C_459","Epithelial cell (intermediated)"
"460","C_460","Epithelial cell (intermediated)"
"461","C_461","Epithelial cell (intermediated)"
"462","C_462","Epithelial cell (intermediated)"
"463","C_463","Epithelial cell (intermediated)"
"464","C_464","Epithelial cell (intermediated)"
"465","C_465","Epithelial cell (intermediated)"
"466","C_466","Epithelial cell (intermediated)"
"467","C_467","Epithelial cell (intermediated)"
"468","C_468","Epithelial cell (intermediated)"
"469","C_469","Epithelial cell (intermediated)"
"470","C_470","Epithelial cell (intermediated)"
"471","C_471","Epithelial cell (intermediated)"
"472","C_472","Epithelial cell (intermediated)"
"473","C_473","Epithelial cell (intermediated)"
"474","C_474","Epithelial cell (intermediated)"
"475","C_475","Epithelial cell (intermediated)"
"476","C_476","Epithelial cell (intermediated)"
"477","C_477","Epithelial cell (intermediated)"
"478","C_478","Epithelial cell (intermediated)"
"479","C_479","Epithelial cell (intermediated)"
"480","C_480","Epithelial cell (intermediated)"
"481","C_481","Epithelial cell (intermediated)"
"482","C_482","Epithelial cell (intermediated)"
"483","C_483","Epithelial cell (intermediated)"
"484","C_484","Epithelial cell (intermediated)"
"485","C_485","Epithelial cell (intermediated)"
"486","C_486","Epithelial cell (intermediated)"
"487","C_487","Epithelial cell (intermediated)"
"488","C_488","Epithelial cell (intermediated)"
"489","C_489","Epithelial cell (intermediated)"
"490","C_490","Epithelial cell (intermediated)"
"491","C_491","Epithelial cell (intermediated)"
"492","C_492","Epithelial cell (intermediated)"
"493","C_493","Epithelial cell (intermediated)"
"494","C_494","Epithelial cell (intermediated)"
"495","C_495","Epithelial cell (intermediated)"
"496","C_496","Epithelial cell (intermediated)"
"497","C_497","Epithelial cell (intermediated)"
"498","C_498","Endothelial cell (APC)"
"499","C_499","Epithelial cell (intermediated)"
"500","C_500","Epithelial cell (intermediated)"
"501","C_501","Epithelial cell (intermediated)"
"502","C_502","Epithelial cell (intermediated)"
"503","C_503","Epithelial cell (intermediated)"
"504","C_504","Epithelial cell (intermediated)"
"505","C_505","Epithelial cell (intermediated)"
"506","C_506","Epithelial cell (intermediated)"
"507","C_507","Epithelial cell (intermediated)"
"508","C_508","Epithelial cell (intermediated)"
"509","C_509","Epithelial cell (intermediated)"
"510","C_510","Epithelial cell (intermediated)"
"511","C_511","Epithelial cell (intermediated)"
"512","C_512","Epithelial cell (intermediated)"
"513","C_513","Epithelial cell (intermediated)"
"514","C_514","Epithelial cell (intermediated)"
"515","C_515","Epithelial cell (intermediated)"
"516","C_516","Epithelial cell (intermediated)"
"517","C_517","Epithelial cell (intermediated)"
"518","C_518","Epithelial cell (intermediated)"
"519","C_519","Epithelial cell (intermediated)"
"520","C_520","Epithelial cell (intermediated)"
"521","C_521","Epithelial cell (intermediated)"
"522","C_522","Epithelial cell (intermediated)"
"523","C_523","Epithelial cell (intermediated)"
"524","C_524","Epithelial cell (intermediated)"
"525","C_525","Epithelial cell (intermediated)"
"526","C_526","Epithelial cell (intermediated)"
"527","C_527","Epithelial cell (intermediated)"
"528","C_528","Epithelial cell (intermediated)"
"529","C_529","Epithelial cell (intermediated)"
"530","C_530","Epithelial cell (intermediated)"
"531","C_531","Epithelial cell (intermediated)"
"532","C_532","Epithelial cell (intermediated)"
"533","C_533","Epithelial cell (intermediated)"
"534","C_534","Epithelial cell (intermediated)"
"535","C_535","Epithelial cell (intermediated)"
"536","C_536","Epithelial cell (intermediated)"
"537","C_537","Epithelial cell (intermediated)"
"538","C_538","Epithelial cell (intermediated)"
"539","C_539","Epithelial cell (intermediated)"
"540","C_540","Epithelial cell (intermediated)"
"541","C_541","Epithelial cell (intermediated)"
"542","C_542","Epithelial cell (intermediated)"
"543","C_543","Epithelial cell (intermediated)"
"544","C_544","Epithelial cell (intermediated)"
"545","C_545","Epithelial cell (intermediated)"
"546","C_546","Epithelial cell (intermediated)"
"547","C_547","Epithelial cell (intermediated)"
"548","C_548","Epithelial cell (intermediated)"
"549","C_549","Epithelial cell (intermediated)"
"550","C_550","Endothelial cell (APC)"
"551","C_551","Epithelial cell (intermediated)"
"552","C_552","Epithelial cell (intermediated)"
"553","C_553","Epithelial cell (intermediated)"
"554","C_554","Epithelial cell (intermediated)"
"555","C_555","Epithelial cell (intermediated)"
"556","C_556","Epithelial cell (intermediated)"
"557","C_557","Epithelial cell (intermediated)"
"558","C_558","Epithelial cell (intermediated)"
"559","C_559","Epithelial cell (intermediated)"
"560","C_560","Epithelial cell (intermediated)"
"561","C_561","Epithelial cell (intermediated)"
"562","C_562","Epithelial cell (intermediated)"
"563","C_563","Epithelial cell (intermediated)"
"564","C_564","Epithelial cell (intermediated)"
"565","C_565","Epithelial cell (intermediated)"
"566","C_566","Epithelial cell (intermediated)"
"567","C_567","Epithelial cell (intermediated)"
"568","C_568","Epithelial cell (intermediated)"
"569","C_569","Epithelial cell (intermediated)"
"570","C_570","Epithelial cell (intermediated)"
"571","C_571","Epithelial cell (intermediated)"
"572","C_572","Epithelial cell (intermediated)"
"573","C_573","Epithelial cell (intermediated)"
"574","C_574","Epithelial cell (intermediated)"
"575","C_575","Epithelial cell (intermediated)"
"576","C_576","Epithelial cell (intermediated)"
"577","C_577","Epithelial cell (intermediated)"
"578","C_578","Epithelial cell (intermediated)"
"579","C_579","Epithelial cell (intermediated)"
"580","C_580","Endothelial cell (APC)"
"581","C_581","Epithelial cell (intermediated)"
"582","C_582","Epithelial cell (intermediated)"
"583","C_583","Epithelial cell (intermediated)"
"584","C_584","Epithelial cell (intermediated)"
"585","C_585","Epithelial cell (intermediated)"
"586","C_586","Epithelial cell (intermediated)"
"587","C_587","Epithelial cell (intermediated)"
"588","C_588","Epithelial cell (intermediated)"
"589","C_589","Epithelial cell (intermediated)"
"590","C_590","Epithelial cell (intermediated)"
"591","C_591","Epithelial cell (intermediated)"
"592","C_592","Epithelial cell (intermediated)"
"593","C_593","Epithelial cell (intermediated)"
"594","C_594","Endothelial cell (APC)"
"595","C_595","Epithelial cell (intermediated)"
"596","C_596","Epithelial cell (intermediated)"
"597","C_597","Epithelial cell (intermediated)"
"598","C_598","Epithelial cell (intermediated)"
"599","C_599","Epithelial cell (intermediated)"
"600","C_600","Epithelial cell (intermediated)"
"601","C_601","Epithelial cell (intermediated)"
"602","C_602","Epithelial cell (intermediated)"
"603","C_603","Epithelial cell (intermediated)"
"604","C_604","Epithelial cell (intermediated)"
"605","C_605","Epithelial cell (intermediated)"
"606","C_606","Epithelial cell (intermediated)"
"607","C_607","Epithelial cell (intermediated)"
"608","C_608","Epithelial cell (intermediated)"
"609","C_609","Epithelial cell (intermediated)"
"610","C_610","Epithelial cell (intermediated)"
"611","C_611","Epithelial cell (intermediated)"
"612","C_612","Epithelial cell (intermediated)"
"613","C_613","Epithelial cell (intermediated)"
"614","C_614","Epithelial cell (intermediated)"
"615","C_615","Epithelial cell (intermediated)"
"616","C_616","Epithelial cell (intermediated)"
"617","C_617","Epithelial cell (intermediated)"
"618","C_618","Epithelial cell (intermediated)"
"619","C_619","Epithelial cell (intermediated)"
"620","C_620","Epithelial cell (intermediated)"
"621","C_621","Epithelial cell (intermediated)"
"622","C_622","Epithelial cell (intermediated)"
"623","C_623","Epithelial cell (intermediated)"
"624","C_624","Epithelial cell (intermediated)"
"625","C_625","Epithelial cell (intermediated)"
"626","C_626","Epithelial cell (intermediated)"
"627","C_627","Epithelial cell (intermediated)"
"628","C_628","Epithelial cell (intermediated)"
"629","C_629","Epithelial cell (intermediated)"
"630","C_630","Epithelial cell (intermediated)"
"631","C_631","Epithelial cell (intermediated)"
"632","C_632","Epithelial cell (intermediated)"
"633","C_633","Epithelial cell (intermediated)"
"634","C_634","Epithelial cell (intermediated)"
"635","C_635","Epithelial cell (intermediated)"
"636","C_636","Epithelial cell (intermediated)"
